경력,기업형태,복리후생,기업수
신입,외국계(법인/투자),D16,15 
신입,외국계(법인/투자),D17,13 
신입,외국계(법인/투자),D18,14 
신입,외국계(법인/투자),D19,14 
신입,외국계(법인/투자),D20,23 
신입,외국계(법인/투자),D21,9 
신입,외국계(법인/투자),D22,5 
신입,외국계(법인/투자),D23,5 
신입,외국계(법인/투자),D24,7 
신입,외국계(법인/투자),D25,22 
신입,외국계(법인/투자),D26,3 
신입,외국계(법인/투자),D27,4 
신입,외국계(법인/투자),D28,0 
신입,외국계(법인/투자),D29,0 
신입,외국계(법인/투자),D30,0 
신입,외국계(법인/투자),D31,1 
신입,외국계(법인/투자),D32,1 
신입,외국계(법인/투자),D33,0 
신입,외국계(법인/투자),E1,3 
신입,외국계(법인/투자),E2,3 
신입,외국계(법인/투자),E3,21 
신입,외국계(법인/투자),E4,6 
신입,외국계(법인/투자),E5,26 
신입,외국계(법인/투자),E6,12 
신입,외국계(법인/투자),E7,10 
신입,외국계(법인/투자),E8,1 
신입,외국계(법인/투자),E9,6 
신입,외국계(법인/투자),E10,6 
신입,외국계(법인/투자),E11,1 
신입,외국계(법인/투자),E12,2 
신입,외국계(법인/투자),E13,1 
신입,외국계(법인/투자),E14,3 
신입,외국계(법인/투자),E15,6 
신입,외국계(법인/투자),E16,0 
신입,외국계(법인/투자),E17,1 
신입,외국계(법인/투자),E18,1 
신입,외국계(법인/투자),E19,4 
신입,외국계(법인/투자),E20,0 
신입,외국계(법인/투자),E21,16 
신입,외국계(법인/투자),E22,11 
신입,외국계(법인/투자),E23,4 
신입,외국계(법인/투자),E24,6 
신입,외국계(법인/투자),E25,1 
신입,외국계(법인/투자),E26,18 
신입,외국계(법인/투자),E27,2 
신입,외국계(법인/투자),E28,2 
신입,외국계(법인/투자),E29,1 
신입,외국계(법인/투자),E30,0 
신입,외국계(법인/투자),F1,0 
신입,외국계(법인/투자),F2,6 
신입,외국계(법인/투자),F3,9 
